"","Yr","SpawnBio","Era"
"1044",1964,5159740,"VIRG"
"1045",1965,5159740,"INIT"
"1046",1966,1479230,"TIME"
"1047",1967,1430400,"TIME"
"1048",1968,1411550,"TIME"
"1049",1969,1595670,"TIME"
"1050",1970,1770230,"TIME"
"1051",1971,1822320,"TIME"
"1052",1972,2043160,"TIME"
"1053",1973,2433050,"TIME"
"1054",1974,2442010,"TIME"
"1055",1975,2278590,"TIME"
"1056",1976,2363680,"TIME"
"1057",1977,2260830,"TIME"
"1058",1978,2106400,"TIME"
"1059",1979,2095160,"TIME"
"1060",1980,2379610,"TIME"
"1061",1981,2340700,"TIME"
"1062",1982,2694710,"TIME"
"1063",1983,4297310,"TIME"
"1064",1984,4437250,"TIME"
"1065",1985,3741070,"TIME"
"1066",1986,3718410,"TIME"
"1067",1987,4552850,"TIME"
"1068",1988,4405930,"TIME"
"1069",1989,3799030,"TIME"
"1070",1990,3693360,"TIME"
"1071",1991,3456400,"TIME"
"1072",1992,3016840,"TIME"
"1073",1993,2739160,"TIME"
"1074",1994,2458300,"TIME"
"1075",1995,1955510,"TIME"
"1076",1996,1904950,"TIME"
"1077",1997,1850010,"TIME"
"1078",1998,1638620,"TIME"
"1079",1999,1405680,"TIME"
"1080",2000,1185350,"TIME"
"1081",2001,1569860,"TIME"
"1082",2002,2686570,"TIME"
"1083",2003,2867970,"TIME"
"1084",2004,2445490,"TIME"
"1085",2005,1961040,"TIME"
"1086",2006,1577900,"TIME"
"1087",2007,1255270,"TIME"
"1088",2008,1127850,"TIME"
"1089",2009,1002230,"TIME"
"1090",2010,970053,"TIME"
"1091",2011,1155090,"TIME"
"1092",2012,1439590,"TIME"
"1093",2013,2394740,"TIME"
"1094",2014,2386370,"TIME"
"1095",2015,1953140,"TIME"
"1096",2016,1966240,"TIME"
"1097",2017,2357120,"TIME"
"1098",2018,2068860,"FORE"
"1099",2019,1755710,"FORE"
"1100",2020,1777340,"FORE"
