year,US,Can,Total,Usperc,Canperc
1966,137000,700,137700,99.50,0.50
1967,177660,36710,214370,82.90,17.10
1968,60820,61360,122180,49.80,50.20
1969,86280,93850,180130,47.90,52.10
1970,159580,75010,234590,68.00,32.00
1971,127920,26700,154620,82.70,17.30
1972,74130,43410,117540,63.10,36.90
1973,147510,15130,162640,90.70,9.30
1974,194110,17150,211260,91.90,8.10
1975,205650,15700,221350,92.90,7.10
1976,231550,5970,237520,97.50,2.50
1977,127500,5190,132690,96.10,3.90
1978,98377,5260,103637,94.90,5.10
1979,124680,12430,137110,90.90,9.10
1980,72350,17580,89930,80.50,19.50
1981,114760,24360,139120,82.50,17.50
1982,75581,32160,107741,70.20,29.80
1983,73151,40780,113931,64.20,35.80
1984,96382,42110,138492,69.60,30.40
1985,85439,24960,110399,77.40,22.60
1986,154966,55650,210616,73.60,26.40
1987,160448,73700,234148,68.50,31.50
1988,160690,88150,248840,64.60,35.40
1989,203050,95029,298079,68.10,31.90
1990,185142,76144,261286,70.90,29.10
1991,229789,89917,319705,71.90,28.10
1992,210829,88822,299650,70.40,29.60
1993,140132,58773,198905,70.50,29.50
1994,253477,108930,362407,69.90,30.10
1995,177124,72372,249495,71.00,29.00
1996,213159,93139,306299,69.60,30.40
1997,233376,91771,325147,71.80,28.20
1998,232920,87802,320722,72.60,27.40
1999,224565,87322,311887,72.00,28.00
2000,206770,22007,228777,90.40,9.60
2001,173940,53585,227525,76.40,23.60
2002,130453,50244,180697,72.20,27.80
2003,141945,63217,205162,69.20,30.80
2004,217240,125067,342307,63.50,36.50
2005,260120,103014,363135,71.60,28.40
2006,266955,94744,361699,73.80,26.20
2007,217682,68976,286658,75.90,24.10
2008,248496,70251,318746,78.00,22.00
2009,121324,57359,178683,67.90,32.10
2010,171043,53072,224115,76.30,23.70
2011,231261,51137,282398,81.90,18.10
2012,160144,46627,206771,77.50,22.50
2013,233558,52249,285807,81.70,18.30
2014,264141,35113,299254,88.30,11.70
2015,154156,39678,193834,79.50,20.50
2016,262590,69740,332330,79.00,21.00
2017,354231,86713,440944,80.30,19.70
2018,315031,95412,410443,76.8,23.2
