"survey","country","year"
222355.636464124,"CAN",1995
913978.026578572,"CAN",1998
39071.898676219,"CAN",2001
369008.107859848,"CAN",2003
634191.252438561,"CAN",2005
258110.981001728,"CAN",2007
293130.078349104,"CAN",2009
70906.3422195158,"CAN",2011
130011.017384644,"CAN",2012
108781.75672785,"CAN",2013
315210.837653223,"CAN",2015
347085.235670549,"CAN",2017
1095679.20470764,"USA",1995
655169.660640207,"USA",1998
822672.537567227,"USA",2001
1719932.52745901,"USA",2003
741908.314918123,"USA",2005
684610.573142497,"USA",2007
1209143.09369351,"USA",2009
603668.45011776,"USA",2011
1149410.06255809,"USA",2012
1820453.32944287,"USA",2013
1840642.29110337,"USA",2015
1070726.21880175,"USA",2017
