Year,Rdev
1966,0.5261
1967,1.5203
1968,1.0659
1969,-0.2556
1970,2.1265
1971,-0.2185
1972,-0.6585
1973,1.6911
1974,-1.0572
1975,0.5233
1976,-1.5741
1977,1.8132
1978,-2.0099
1979,0.2425
1980,2.7852
1981,-1.3383
1982,-1.2073
1983,-0.7454
1984,2.5445
1985,-2.0532
1986,-1.7333
1987,1.789
1988,0.6539
1989,-2.1783
1990,1.3874
1991,0.1312
1992,-2.0583
1993,1.1089
1994,1.1702
1995,0.2027
1996,0.6
1997,0.0526
1998,0.6923
1999,2.5964
2000,-1.0658
2001,0.2319
2002,-3.4592
2003,0.483
2004,-2.776
2005,0.985
2006,0.6845
2007,-3.6576
2008,1.7151
2009,0.3531
2010,2.7031
2011,-0.7975
2012,0.3814
2013,-0.8901
2014,2.1233
2015,-1.8784
2016,1.1849
2017,0.0252
