"year","Country","am"
2008,"Can",8.00758825047256
2008,"US",5.20627233516837
2009,"Can",7.20853054446556
2009,"US",4.8937427466948
2010,"Can",6.86636025649574
2010,"US",4.00928168636943
2011,"Can",5.37324626750362
2011,"US",3.24700025367261
2012,"Can",5.58763761554464
2012,"US",3.26840898838411
2013,"Can",9.13326639935693
2013,"US",3.54934725079556
2014,"Can",7.65477375615869
2014,"US",4.44560926329349
2015,"Can",5.74433328544785
2015,"US",4.83565892602299
2016,"Can",6.10284742404038
2016,"US",3.61482705951994
2017,"Can",6.80216243681109
2017,"US",5.14534516036146
2018,"Can",9.6778
2018,"US",4.155466667

